text,label
"vihreät on paRAs, muut oooon idioO7tIA.",MODERATE
"ta1v@S pel@$taa, Te olet7e pasKaa.",MODERATE
"Ol1pa mahtava hauki, joka karkasi!",OK
"Olipa kaunis lohi, joka karkasi!",OK
ilmainen nitro bFZwv,MINOR
IceFisher64,OK
vastAtka@,MINOR
Sä Oot ihan iDioOtti.,MODERATE
OOtk0 mut4ku0no? P4Inv viT7vun.,SEVERE
OOtko m4nne? pa!nU viTtvUN.,SEVERE
Ootk0 homo? Pa1nu vi++Uun.,SEVERE
klikkaa tästä tqGfi,MINOR
TaP4n sut ja kok0 sun p3rhe.,SEVERE
Ku|<Aan e1 tYKkää $Usta nol1fE.,MODERATE
TämÄ serveri jumiTtaa,MINOR
HalvAn nuol3 5uA.,SEVERE
"Vitun juTku, raiska@n su7!",SEVERE
Tämä seRveri jUmittaa,MINOR
Kuuuol3 pois vitun transu.,SEVERE
Tämä k@ikkI On ärsyyyyt7ävÄ.,MODERATE
tYkkäÄn tästä peliStä.,OK
meneee po!s viTuN nuija. :D,MODERATE
"Olipa huono kiiski, joka karkasi!",OK
kaIkki oN täYzi Noob.,MODERATE
"taiivas pel4Staa, te ol3+te huonoa.",MODERATE
Moood3t 0n täysi no0b.,MODERATE
Onko Admin PAiikalLa?,OK
0otko huor4? Painv v1ttvvn.,SEVERE
ProPilkkijä47,OK
OleTko 0IKeAsti noin pel13?,MODERATE
TYkkään tästä PelIstä. :(,OK
Kv01e pois v!tun mAmU.,SEVERE
miks! tämä ei t0imi,MINOR
"H3!l HiT|Er, homoooT vuNiIn.",SEVERE
nvSs1a muN Pers34 5a@tan@n hvora.,SEVERE
Tämä sinä on ärsytTävä.,MODERATE
"MOi, 0nko tässä kiSassaaaa sääntöööjä?",OK
sä 0oT |1K@iNen neeeeek3rI.,SEVERE
Älkäääää kuunneeeelko to7a nuijaa.,MODERATE
TÄMÄ S3RVERI JUMITTa4,MINOR
liity tähän kSlKp,MINOR
ilmainen nitro JyTEM,MINOR
Sä ooooot lika1nen huorA.,SEVERE
Tämä serveri Ei +oimi,MINOR
TÄMÄ SERVERi eI TOIMI,MINOR
TehkÄä parannus +@! saataNa rankai$ee.,MODERATE
Mistä lÖYtyy mahtAva hauKi?,OK
PilkkiUkko5,OK
VittU m1tä ärsyttävä tOuhuaa.,MODERATE
Sanna8875,OK
Sain juuri huonon maden.,OK
kiiski söi hyvin täällä.,OK
"uskon+o peelasta4, teeee oolette pas|<4a.",MODERATE
ilmainen nitro ASyVn,MINOR
ootko manne?? P4iiiinu vIttuun.!!!1!,SEVERE
"Olipa iso siika, joka söi!",OK
halpaa kultaa QDkPB,MINOR
kaikki JUtku pitä!si tappaa.,SEVERE
"H3i| Hitler, MannEt uUniin.",SEVERE
"viiiihreeeeät On paR4s, muvt on jonnea.!",MODERATE
Tehkää par@nnus tai j3E5us r@nkais3e.,MODERATE
"Wh!Te Power, viitun maMu. xD",SEVERE
K@!kki m@nn3 pitäiSi TAppaa.!,SEVERE
$ä 007 lik4inen tr@nsu....,SEVERE
Tämä serveri Jvmittaaa,MINOR
5ä oooot l1kainen huora. :D,SEVERE
|<ai|<ki homo pi+Äisi tapPaa. xD,SEVERE
MenE p0is viiitun J0nnE.???,MODERATE
Tehkäääää paraNnuz +ai taivas rank41S3e.,MODERATE
Tämä $erveri kaatuu,MINOR
Tänäään on huOno syöntI.,OK
Tehkää paranNus Taii jvmala rankaIsee.,MODERATE
"moi, oNkO tässä kisassa sääntöjä?",OK
"OlIPa huono siik@, Joka nou5i!",OK
klikkaa tästä wDHZg,MINOR
kaIkki Manne pi+äisI +aaaappaa.,SEVERE
seuraa minua somessa KvPAm,MINOR
Ol37ko oikeasti noIn !diootti?,MODERATE
seuraa minua somessa JHsbI,MINOR
O|3tko oIke4sti nOin noLife?,MODERATE
HAista paaa$ka @dmin.,MODERATE
Kaikki Ju7ku pitäis! tapp44.,SEVERE
Älkää kvunnelko tota tontTua.,MODERATE
"sa@tana pela$Taa, +e 0leT+e Paskaa.",MODERATE
liity tähän ncLMY,MINOR
miKsiii tämä ei T0im1,MINOR
nussin sua ja koko sun perhe.,SEVERE
"jumala Pel4st@a, te ole7t3 likaInena.",MODERATE
serveR! oN täyS! nuija.,MODERATE
O0t|<o m4mv? Painv v1ttUvn. xD,SEVERE
Sä oooot likain3n ju+ku.,SEVERE
"Olipa kaunis made, joka tuli!",OK
Tämä Serveri pätKii...,MINOR
ZzZZ xD,MINOR
seuraa minua somessa WZZSe,MINOR
H@luan pane $uA.,SEVERE
mIssÄ aDmin,MINOR
liity tähän dkgdu,MINOR
TäMÄ SERVERI JUMITtAA xD,MINOR
Huomenna UuuuusI kIsa.,OK
"Taivas p3la$taa, te o13tte rumaa.",MODERATE
HaiiiistA paska sinä.,MODERATE
Tehkää paRaNnus tai allah rankaiSeee.,MODERATE
"Olipa kiva siika, joka karkasi!",OK
"sosialismi on p@r@s, mUvt on pellea.",MODERATE
SAin juurii izon h4Ukin.,OK
Kalamies36,OK
H4lu4n nuoLe sua.,SEVERE
Mistä löytyy pieni taimen?,OK
klikkaa tästä BMLom,MINOR
homot pi|aa suomEn.,SEVERE
HaLv@N nuole sua.,SEVERE
PilkkiUkko91,OK
"vskon+o pel@staa, +e oLet+e l1kaaainena.",MODERATE
hiljaiSta,MINOR
Men3 pois vitUn peeeLL3. xD,MODERATE
TyLSÄÄ...,MINOR
"Olip@ kaUNis taimen, joka kArkasi! :D",OK
"kOmmun!stit on paras, muut 0n nooBA.???",MODERATE
Onpa hIenO ilma järveltä. :(,OK
Mene poIs vitun Noob.???,MODERATE
tapan sut j4 koko sun perhe.,SEVERE
MIKÄ MeININK1 :D,MINOR
mikÄ meiniiiNki,MINOR
MIKsI TÄMÄ EI 7oImI,MINOR
aadm1n on tÄy5iiii uRp0. :D,MODERATE
"äänEStäkää puolv3tTa ooooN paraa$, muut 0n n0|iFea.",MODERATE
"MoI, onko tässä kisASsa sääntöjä?",OK
7Ämä seeerver1 bu6ittAa xD,MINOR
K4!kki ry5sÄ PitäiSi tapp@a.,SEVERE
Mistä löytyy kaunis kuha?,OK
P@1nu HElveTti1n Siitä. :(,MODERATE
Onnea voittajAlle!,OK
TÄmä serveri jum1Tt4a xD,MINOR
"Olipa komea hauki, joka nousi!",OK
Tämä sinä on HUono.!,MODERATE
Onpa komea ilma jäältä.,OK
VIttu mITä huono T0uhua.,MODERATE
Tämä serv3ri ei toimi!!,MINOR
Sä oO+ Ihaan noob.,MODERATE
"Olipa hyvä kuha, joka tuli!",OK
5ä oo7 likainen jvtkU.,SEVERE
H4Lv4n !me zua.,SEVERE
"Jum4la pelas7aa, tE Olet7E rumaa.",MODERATE
MissÄ admin,MINOR
klikkaa tästä IBgFr,MINOR
"WHiTe PoWer, vitUn mu+4kuoNo.",SEVERE
Matti_M49,OK
T3hkää parAnNus tai HElvettI rankAiSee.,MODERATE
kireitä siiiiimojaaaa kaIKille.,OK
Kuol3 po1z vi7Un traNsU.,SEVERE
"helvetti pelas7aaaaa, te oleTte surkeaa.",MODERATE
0oTkO +Ransv? painu vittuun.,SEVERE
halu4n nUol3 sua. :(,SEVERE
Kuo1e pois viTun hom0.,SEVERE
Onko admin paikalLA?,OK
Sä o0t lika1n3n rysSä.!!!1!,SEVERE
14iiiita kUv4 sun p3rsest4.,SEVERE
Onko Admin pAikalla?,OK
"jUma1a peL4staa, 7e 0l37Te surkeA@. :D",MODERATE
serv3ri on täys! jonne.,MODERATE
halpaa kultaa CZMba,MINOR
tÄMÄ SERVERI 3I TOIMI :D,MINOR
"Olipa hieno kiiski, joka nappasi!",OK
|<@i|<k! hvORa p!tÄi5i 7apPa@....,SEVERE
TÄmä sErveri lAgiii...,MINOR
liity tähän QXDRS,MINOR
Haista paskA Pe|!.,MODERATE
Matti_M23,OK
vastAtkaa :(,MINOR
|aiTa kuva zvn kyrpäs7a.!!!1!,SEVERE
KukaAn ei tyK|<ää susta noob.,MODERATE
KA!kkI mAmu pitäisi taPpaa.???,SEVERE
Sä oOt ihan Pe1leeee. xD,MODERATE
onneA voooittajalle!,OK
ONk0 TÄÄLLÄ KE7ÄÄN,MINOR
kvoole pois vi7un manne.,SEVERE
blAAbL@A,MINOR
|<uk@an eI tykkää sUsTaaa noob.,MODERATE
"sosialismi on pAras, muuut 0n nu!jAa.!",MODERATE
"HEil Hit1er, maNnEt uvniin.",SEVERE
KUo1e pois vitun hoMo.,SEVERE
s1it your 7hr0At ja |<0ko suN perh3.???,SEVERE
TÄmÄ serveri kAAtuv :(,MINOR
Mene pOis v!tun tonttu.,MODERATE
"He!l Hi+ler, mutAkuonot uvnIin.",SEVERE
"Heil HiT|er, m4nnE+ uUni!n.",SEVERE
"Vitun mutA|<U0NO, ki1l yov!!!",SEVERE
Tämä M0Det on huono.,MODERATE
VIt7u m!tä huon0 Touhua. :D,MODERATE
PilkkiUkko43,OK
Tämäää serveri E1 +0!mi,MINOR
die ja ko|<o sun Perhe.,SEVERE
Sain juuri mahtavan kiiskin.,OK
Haista p@ska moDET.!,MODERATE
"Heil Hit|3r, h0m0t uvn1in.",SEVERE
"ääneStäkää puolUetta 0N paras, muut 0N nuijaa.",MODERATE
K4IkkI hvorA PitÄ!si tapp4a.,SEVERE
Kaikki jutkv pi7äiiisi tappaaaaa.,SEVERE
Ku|<aan ei +Ykkää suuusta luvseRi.,MODERATE
p3li on täYSi nuuuiiiija.,MODERATE
kA!k|<i mutakuono pitäisi T4ppaA.,SEVERE
haluisitko runkkaa mun kivekset?,SEVERE
V!+tu mitä P4sk4 touhuA.!!!1!,MODERATE
"Olipa komea taimen, joka nousi!",OK
Painu hElvettiin siitä. :D,MODERATE
IceFisher54,OK
MenE poiS v1Tvn jonne.,MODERATE
halpaa kultaa xssyD,MINOR
PaiNu helvetTiin $iitä.,MODERATE
T3hkää parANnus tAI al1AH raNkaise3.,MODERATE
Tule3Ko muille Särkia?,OK
"Olipa komea made, joka nappasi!",OK
ProPilkkijä75,OK
TämÄ s3rveri pä+|<ii,MINOR
0otko hu0ra? Painv v!ttvuN.,SEVERE
"Vitun homo, vedän turpaan!",SEVERE
Onpa pieni ilma matalasta.,OK
0o+kO jvtkU? P4inv v!T+uun.,SEVERE
+ÄMÄ SERVER! JvMI7TaA,MINOR
adMin on täysi tyhmä. :(,MODERATE
Sä 00t |ikaiNen hoMo.,SEVERE
raIska@n sut J4 koko svN perhE.!,SEVERE
MI|<Ä MEININKI :(,MINOR
serverii on täysi noLiFe.!!!1!,MODERATE
"Olipa kiva ahven, joka nappasi!",OK
"H3il Hi7l3r, m@mut uun!in.!!!1!",SEVERE
seuraa minua somessa Obehk,MINOR
TYkkääN tästä pelisTä.,OK
rai$ka4n su7 ja koko sun pErhe.,SEVERE
Kalamies40,OK
Tämä ServEr! kaatvu,MINOR
FishingMaster61,OK
"Persut on par@s, muuut on LuuSeria.",MODERATE
OnkO admin paikalLa?,OK
seuraa minua somessa SToQN,MINOR
O0tko huora? PaiNu vIttvun.,SEVERE
L@ita kUva Sun ku1LIsta.,SEVERE
"VItvN hom0, t4pan sut!???",SEVERE
Mistä löytyy iso kiiski?,OK
H4Lu4N nuole sua.,SEVERE
mUtakuonot pilaA suomEn.,SEVERE
H@1van nuooooLe sUa.,SEVERE
"Heil Hitler, huorA7 uunIiiin.",SEVERE
ilmainen nitro viCwl,MINOR
"Olipa iso kuha, joka tuli!",OK
zLit yovr thro4t jA kok0 svN perh3.,SEVERE
liity tähän jPLUb,MINOR
KUkaan ei tykkäääää svsta urpo.,MODERATE
seuraa minua somessa wbXxY,MINOR
pelI on täysI bot.,MODERATE
klikkaa tästä yfGJB,MINOR
ProPilkkijä99,OK
"VituN m4nn3, die!",SEVERE
Mistä löytyy iso taimen?,OK
Sä o07 ihan tyhmä.,MODERATE
TäMÄ SERVERI ON HIDAS???,MINOR
KuKaan ei tykKää sus7a ton++v.,MODERATE
Ootko ju+|<u? Pa1nu v1t+uuN.,SEVERE
FishingMaster85,OK
VasTATKA@ xD,MINOR
TÄMä SERV3RI L4GII :D,MINOR
Tuuuu1eeeeeko muillE sÄrkia?...,OK
liity tähän KONRp,MINOR
taPan sut j@ koko 5UN perhe.,SEVERE
Älkää kuvnn3|ko toTa 7yhmäA. :(,MODERATE
Kireitä siimoja kaIk1llee....,OK
"Vitun mAnne, die!",SEVERE
TÄMä seRVERI LAGII,MINOR
ONNea voIttAJaLle!,OK
tapan zvt ja koko SuN perh3.,SEVERE
MIKSI TÄMÄ E1 tOIMI,MINOR
ilmainen nitro dULkK,MINOR
"Olipa huOno Nieriä, joKa nousi!",OK
Kalamies17,OK
Onpa hIEno iLMa matal@sta.,OK
pane mun kullia saaaaAtanAn ju7|<u.,SEVERE
miksi tämä ei toiMi???,MINOR
nieriä tuLi Hyvin tÄällä. xD,OK
liity tähän hWefp,MINOR
TäMä serv3ri on hiDas...,MINOR
TämÄ serverI bugittaa,MINOR
Huomenna uu5i ki$a.,OK
TämÄ serveri ei toimI...,MINOR
TämÄ s3rv3ri on hidas,MINOR
"usk0nto PElaStAa, te olette okSettavaaaa@.???",MODERATE
Kukaan 3ii tYkkää susta jonn3.!!!1!,MODERATE
ilmainen nitro HewoA,MINOR
IceFisher5,OK
halpaa kultaa tluSs,MINOR
Paiiinu helv3ttiIn 5iiiiitä.,MODERATE
"White P0wer, vItun Huora.",SEVERE
mamut pi1aa su0men.,SEVERE
klikkaa tästä VmZMO,MINOR
seuraa minua somessa EAsbU,MINOR
+ämä sErveri JumiTtaa,MINOR
FishingMaster92,OK
ilmainen nitro UUmSN,MINOR
Haluan n4!da sua. :D,SEVERE
PilkkiUkko3,OK
"Olipa pieni kuha, joka söi!",OK
Mistä löytyy pieni kuha?,OK
mIssä admiN :(,MINOR
muTakuon07 Pil4a su0men.,SEVERE
"jvmal4 pelAstaa, te Olette PaSkaaa.",MODERATE
admin on täysii jOnne.,MODERATE
Kiiiiitos pElisTä.,OK
Matti_M38,OK
jutkU+ pilaa sUomen.,SEVERE
tapaN sut Ja Koko Sun perhe.,SEVERE
Jutkut p11a@ suom3n....,SEVERE
La1T@ kuv@ sun kYRpäs+a.,SEVERE
saatanan iso munanimejä,SEVERE
"Olipa hieno made, joka tuli!",OK
TykkääN tästä pelistä.,OK
Kalamies82,OK
Tämä M0det on LiKA1n3n. :(,MODERATE
"a1lah pe1as+@a, te olette zvrkEaa.",MODERATE
Tämä SerVeri pätkIi!!!1!,MINOR
L@ita kuvA sun ku|l!st@.,SEVERE
MEnE pOis Vitun nooooob.!!,MODERATE
"Vi+vN transu, ki|l yOu!!!",SEVERE
TÄMä SERvERI PäTKII :(,MINOR
"Wh1tE P0w3r, vituN neeKeri.",SEVERE
"z051ali5m1 0n paraaas, Muut on no0b@.",MODERATE
Oo+ko RySsä? p@inv vittuun.,SEVERE
ootk0 mUtakuoNo? PaiNu V1+tuvn. :D,SEVERE
Oot|<o neekerI? P@iiinv ViTTvuN.,SEVERE
Kuk@an ei tYkkääää suSta tyyyyhmä.,MODERATE
Olipa iso kala!,OK
Tämä m0d3t 0n oks3tTaVa.!!,MODERATE
TÄMä 5eRvERI BUG1TTAA...,MINOR
limainen pillu täällä tarjolla,SEVERE
"Moi, onko tÄssä kiSasSa sääntöööjä?",OK
Tuleeko muille nieriäa?,OK
"Olipa komea lohi, joka söi!",OK
maDe nykäisi hyvin tää|lä. :D,OK
Vittu mitä likaiinen touhva.,MODERATE
FishingMaster45,OK
"Olipa hieno ahven, joka karkasi!",OK
Pa1nu helveTtiIn sii+ä.!,MODERATE
serveri on täysi urpo.,MODERATE
"Olipa pieni särki, joka nappasi!",OK
IceFisher43,OK
Matti_M71,OK
SaiN juvri kivAn Siikan.,OK
Vittu m!+ä huono t0uhua.,MODERATE
Tänään on huono Syön+i. :(,OK
"vihr3Ät on paras, MuvT 0n nooba.",MODERATE
IceFisher63,OK
0n|<o +äällä k3tään!,MINOR
Nähdään hUom3Nna.,OK
Sä oo+ ihan b0t.,MODERATE
Ku0|e pois v1tun mannE.!!!1!,SEVERE
ilmainen nitro ZujuT,MINOR
zzZz!,MINOR
"Olipa kaunis kiiski, joka tuli!",OK
Mene PO1S vituN id1ootti. :(,MODERATE
ilmainen nitro DGiyE,MINOR
Vittu mitä likaiinen touhva.,MODERATE
peli on TÄys! peLle.,MODERATE
"Olipa komea särki, joka nappasi!",OK
7ÄMÄ sERV3R! PÄTKII,MINOR
PilkkiUkko99,OK
vedän turpaaaaN j@ koko svn pErhe.,SEVERE
Matti_M26,OK
00tKo manne? PAinu viTtuuN.!,SEVERE
TyykkäÄn tÄStä peeelIstä.,OK
5ä o0t likaaainEn mamv. xD,SEVERE
$ä 0oT likaaaa!nen N3ekerI.,SEVERE
nv0le mUn pI1lua saa+4nan m4mu.,SEVERE
mi|<si tämÄ ei toimi,MINOR
Kuka@n ei tykkää susta b0t.,MODERATE
tyl5ää!!!1!,MINOR
H@luan pane su4.,SEVERE
"v!hreät on p@rAs, Muu+ on 8ota.!",MODERATE
TÄmä mod3t 0n ruma.,MODERATE
TEhkää parannus tai $aataNa ranka1see.,MODERATE
Älkää kuvnnelko toTaa urpoa.,MODERATE
"Olipa komea kiiski, joka karkasi!",OK
halpaa kultaa UgGTB,MINOR
TämÄ seeeerveri jumiTt@a,MINOR
L@i7A kuva sun mvnaztA.,SEVERE
nu0le mvn kullia sa@tanan h0mo.,SEVERE
+ÄMÄ SERVERi EI TOIMI,MINOR
Tämä SerVeri on liKainen.,MODERATE
Onpa kiva ilma pilkiltä.,OK
Mistä löytyy kiva ahven?,OK
MissÄ admin,MINOR
"WH!te PoWEr, VI+un huora.",SEVERE
Painu h3lvettiin siiitÄ.!,MODERATE
Kukaan ei tykkää susta Noob.,MODERATE
Kvka4n 3i tykKÄä susTa joooonne.,MODERATE
MIten va1hdetaan pIlKkiä?,OK
hoid3lla mvn munaa s@atan4n homO.,SEVERE
"taiv@s pelaStaA, te olette paskaaa.",MODERATE
PaiNu he1v3tti1n si1Tä. :(,MODERATE
$ä Oooo+ li|<@1nen hoMo.,SEVERE
H4lu4n Nuzsia zva.,SEVERE
"Olipa kaunis nieriä, joka nousi!",OK
o0tko muta|<uonO? P4inv viT+uvn.,SEVERE
"Wh!7e POw3r, vi+Un hOmo.",SEVERE
seuraa minua somessa HRvKL,MINOR
Tämääää seRveri pätkii,MINOR
liity tähän SUPFX,MINOR
ku0le po!s vi7vn muuut4KUono.!!,SEVERE
Oletko OiKeasti n0in luuseri?,MODERATE
IceFisher26,OK
missä ADMiN,MINOR
"heil Hit|er, mutakuonOt uuNi1n.",SEVERE
OnpA Hieno ilma syväNteestä. xD,OK
ProPilkkijä86,OK
peli on täysi Jonne.!,MODERATE
halpaa kultaa xEAUj,MINOR
liity tähän JxBcj,MINOR
Älkää kuunn3lko tota JoNne4.,MODERATE
"Hei| HItleR, mamvT uuniIN.",SEVERE
Teh|<ää PArannus ta1 uskonto r4nKaiSee. xD,MODERATE
tylsäääää???,MINOR
"Olipa pieni lohi, joka nousi!",OK
FishingMaster12,OK
"Olipa mahtava särki, joka nappasi!",OK
OnKO 7ÄÄLLä K37ÄÄN,MINOR
Painu heeeeLve+TiIn siitä.!!!1!,MODERATE
"Vitun mv7akUono, +apan $u+!",SEVERE
"Hei1 Hit|er, mu+akuOnot uvniin.",SEVERE
sä O0t likainen mamv.!!,SEVERE
siika söi hyvin täällä.,OK
liity tähän hgfES,MINOR
TÄMä serverI bugitTaaaa,MINOR
Onko adMin p4ik4ll4????,OK
naida mun kullia saatanan mamu.,SEVERE
seuraa minua somessa zKqYj,MINOR
Kireitä sIiimoJa kaiikillE.,OK
seuraa minua somessa rrHep,MINOR
VItTu m!tääää surKea toUhua.,MODERATE
t@pan sut ja ko|<o sun perHe.,SEVERE
LAitA kvva svn pi||vsta.!!,SEVERE
sinä On täyS! idioot+I.,MODERATE
B1AABlAa :D,MINOR
TÄMÄ SERVeRI |<AATUU,MINOR
painv h3lVeeee7tiin zi!tä.!,MODERATE
KuK4an ei tykkää svstA luuseri.,MODERATE
"HEi| Hitler, mU+4|<uOnot uvniin.",SEVERE
"Heil HiTl3R, trAnsUt vuniiiiiN.",SEVERE
OnpA Kaunis ilma mAtalasta. :(,OK
Onnea vooooiTTajalle!,OK
P4inu he|vettiin sii7ä.,MODERATE
Oletko oikeasti noin urpo?,MODERATE
VAST@Tk4A,MINOR
IceFisher41,OK
"He!l Hi7ler, huOrat uvni!n.",SEVERE
Ärsyttävää!,MINOR
Ä1käÄ kvunnel|<o 7ot@ nuiJaa.,MODERATE
Matti_M71,OK
MiTen vaiiiihdetaan pilkkIä?,OK
"HeIL Hit13r, homo7 uun11n.",SEVERE
m0Det on täysi n0lifE.,MODERATE
ilmainen nitro eLDPk,MINOR
PilkkiUkko55,OK
TÄmä Pel! 0n paska.,MODERATE
7eeeehKää Parannus t4i jeeeeesus rankaisee.!,MODERATE
ilmainen nitro qJpdo,MINOR
Kalamies18,OK
LA!t@ kuvA sun munAsta.???,SEVERE
KiitoS pelistä.,OK
"perzuT 0n paraz, mUut On NO|IfEa. xD",MODERATE
slit yOvr thr0at ja koko sun p3rHE.,SEVERE
MIKSI TÄMÄ 3I ToIm1,MINOR
liity tähän avTCf,MINOR
Mikä on par@s syöttiii loHille?,OK
"HeiL HitlEr, neekerit Uun1in.",SEVERE
S4in juuri kauni$n maDEn.,OK
HuoRat pila@ zUomen. xD,SEVERE
p3li 0n täysI Tyhmä.,MODERATE
"Heil Hi+Ler, homot Uvni1n.",SEVERE
Kiitos pelistä.,OK
"Hei1 Hi+ler, mAmU7 uvn!1n.",SEVERE
Tul3ek0 muIlle taimEn4? xD,OK
5Ä oot ih4n t0Nttu.,MODERATE
"Olipa kiva kuha, joka söi!",OK
Täääämä serVer! päTkii,MINOR
|<uuo1e poi5 vItun Neekeri. :(,SEVERE
modeT ooon täysi pelle.!,MODERATE
Hiljaaaist@,MINOR
PilkkiUkko72,OK
liity tähän jtTas,MINOR
VITTu mitä ruma touhva.,MODERATE
MenE poiS vi7un tyhmä.,MODERATE
L@ita kuva sun tiz5itst@.,SEVERE
Kukaan ei +ykkää sUsta luuseri.,MODERATE
"Vi+un mutAKu0no, raiska4n 5v+!",SEVERE
TämÄ serveri bugittaa,MINOR
Kukaan e! tyKkää suS7a jonne.!!,MODERATE
Kiitos pelistäää.,OK
Admin_On_Paska,MODERATE
vittu kun tekee mieli imeä,SEVERE
TÄMÄ SERVERI |AGII,MINOR
"Olipa komea lohi, joka nykäisi!",OK
ViT+u mItä likAinen touhva.,MODERATE
"Moi, onko tässä kisassa säänTÖjä?",OK
|<aikki jutku Pi+äIs1 +appaaaaa.,SEVERE
"WhITe Pow3r, vitUN mann3.",SEVERE
älkää kuvnnelko tota nuij4a.,MODERATE
Tehkää pArAnnus Tai he|v3tti rAnkaiSE3.,MODERATE
Älkää |<uUnN3lko tOtA tyHmääääa.,MODERATE
|<ukaan e! tyKkää sU$ta Tyhmä.,MODERATE
TuleeKo MuiLle haukia?,OK
Kireitä sIiimoJa kaiikillE.,OK
tämÄ sErveRi 8ug!tTAA,MINOR
"Olipa kiva siika, joka tuli!",OK
MITen vaiHdEtaan pilkkiä?!!!1!,OK
T3hkäÄ Parannus Taai je3suS ran|<aIsee.,MODERATE
peli on +äysI nolife.,MODERATE
ty|<kään tästä pelistä.!!!1!,OK
klikkaa tästä EbSZC,MINOR
KaIkki hom0 pitäisi t4pp@4.,SEVERE
ra1skaan zuuT ja Koko Svn perhe.,SEVERE
ilmainen nitro vlGno,MINOR
NähDään huomenna.,OK
d1e ja koko Sun perh3.,SEVERE
"Olipa mahtAva kiiski, jok4 nappasi!!!",OK
"Olipa mahtava nieriä, joka nAppaSi!???",OK
m1kä meinInKi,MINOR
TämÄ 5!nä on ärsytTÄvä....,MODERATE
m!kä meininki,MINOR
"Vitvn huora, nvzsin 5va!",SEVERE
